MA 200	Multivariable Calculus	Vamsi Pingali	Tue, Thu	3:30 - 5: 00
MA 212	Algebra I	Bharathwaj Palvannan	Mon, Wed, Fri	11:00 - 12:00
MA 221	Analysis I: Real Anaysis	Tirthankar Bhattacharyya	Mon, Wed, Fri	10:00 - 11:00
MA 223	Functional Analysis	Swarnendu Sil	Mon, Wed, Fri	2:00 - 3:00
MA 232	Introduction to Algebraic Topology	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 242	Partial Differential Equations	A. K. Nandakumaran	Tue, Thu	11:30 - 1:00
MA 312	Commutative Algebra	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 313	Algebraic Number Theory	Mahesh Kakde	Mon, Wed, Fri	9:00 - 10:00
MA 317	Introduction to Analytic Number Theory	Soumya Das	Tue, Thu	11:30 - 1:00
MA 333	Riemannian Geometry	Ved Datar	Tue, Thu	10:00 - 11:30
MA 361	Probability Theory	Srikanth Iyer	Tue, Thu	11:30 - 1:00
MA 379	Linear Algebraic Groups	Mihir Sheth	Mon, Wed, Fri	8:00 - 9:00
MA 388	Topics in Non-linear functional analysis	Arka Mallick	Tue, Thu	2:00 - 3:30
