MA 200	Multivariable Calculus	Muna Naik	Mon, Wed, Fri	11:00 - 12:00
MA 212	Algebra I	Soumya Das	Mon, Wed, Fri	12:00 - 1:00
MA 215	Introduction to Modular Forms	Ravitheja Vangala & Rishabh Agnihotri/Bharathwaj Palvannan	Tue, Thu	11:30 - 1:00
MA 219	Linear Algebra	Apoorva Khare	Tue, Thu	11:30 - 1:00
MA 221	Analysis I: Real Anaysis	Purvi Gupta	Tue, Thu	10:00 - 11:30
MA 223	Functional Analysis	Swarnendu Sil	Mon, Wed, Fri	3:00 - 4:00
MA 231	Topology	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 232	Introduction to Algebraic Topology	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 242	Partial Differential Equations	Harish Seshadri	Mon, Wed, Fri	2:00 - 3:00
MA 261	Probability Models	Sanchayan Sen	Tue, Thu	2:00 - 3:30
MA 307	Riemann Surfaces	Ved Datar	Tue, Thu	8:30 - 10:00
MA 312	Commutative Algebra	Abhishek Banerjee	Tue, Thu	2:00 - 3:30
MA 315	Lie Algebras and their Representations	Souvik Pal/Apoorva Khare	Tue, Thu	2:00 - 3:30
MA 328	Introduction to Several Complex Variables	Gautam Bharali	Tue, Thu	2:00 - 3:30
MA 333	Riemannian Geometry	Vamsi Pingali	Tue, Thu	3:30 - 5: 00
MA 361	Probability Theory	Manjunath Krishnapur	Tue, Thu	11:30 - 1:00
MA 368	Topics in Probability and Stochastic Processes	Arvind Ayyer	Tue, Thu	10:00 - 11:30
MA 388	Topics in Non-linear functional analysis	Arka Mallick	Tue, Thu	10:00 - 11:30
UMC 301	Applied Data Science and Artificial Intelligence	Deepak Subramani	Mon, Wed, Fri	10:00 - 11:00
