MA 200	Multivariable Calculus	Vamsi Pingali	Tue, Thu	2:00 - 3:30
MA 212	Algebra I	Shaunak Deo	Mon, Wed, Fri	3:00 - 4:00
MA 219	Linear Algebra	Apoorva Khare	Tue, Thu	10:00 - 11:30
MA 220	Representation Theory of Finite Groups	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 221	Analysis I: Real Anaysis	Sunadaram Thangavelu/R. Venkatesh	Mon, Wed, Fri	10:00 - 11:00
MA 223	Functional Analysis	Tirthankar Bhattacharyya	Mon, Wed, Fri	10:00 - 11:00
MA 231	Topology	Siddhartha Gadgil	Mon, Wed, Fri	9:00 - 10:00
MA 232	Introduction to Algebraic Topology	Harish Seshadri	Mon, Wed, Fri	12:00 - 1:00
MA 242	Partial Differential Equations	Swarnendu Sil	Mon, Wed, Fri	2:00 - 3:00
MA 261	Probability Models	Sanchayan Sen	Tue, Thu	3:30 - 5: 00
MA 312	Commutative Algebra	Amalendu Krishna	Tue, Thu	11:30 - 1:00
MA 313	Algebraic Number Theory	Bharathwaj Palvannan	Tue, Thu	10:00 - 11:30
MA 317	Introduction to Analytic Number Theory	Soumya Das	Tue, Thu	11:30 - 1:00
MA 321	Analysis III	A.K.Nandakumaran	Tue, Thu	10:00 - 11:30
MA 325	Operator Theory II	E.K.Narayanan	Tue, Thu	8:30 - 10:00
MA 329	Topics in Several Complex Variables	Gautam Bharali	Mon, Wed, Fri	2:00 - 3:00
MA 361	Probability Theory	Manjunath Krishnapur	Tue, Thu	2:00 - 3:30
MA 375	Algebraic Graph Theory	Shivani Goel/Arvind Ayyer	Mon, Wed, Fri	11:00 - 12:00
MA 388	Topics in Non-linear Functional Analysis	Arka Mallick	Tue, Thu	3:30 - 5: 00
