MA 213	Algebra II	R. Venkatesh	Tue, Thu	2:00 - 3:30
MA 218	Number Theory	Shaunak Deo	Tue, Thu	10:00 - 11:30
MA 220	Representation Theory of Finite Groups	R. Venkatesh	Tue, Thu	3:30 - 5: 00
MA 222	Measure & Integration	Harish Seshadri	Mon, Wed, Fri	2:00 - 3:00
MA 222A	Topics in Measure Theory	Arka Mallick	Tue, Thu	11:30 - 1:00
MA 224	Complex Analysis	Gautam Bharali	Mon, Wed, Fri	3:00 - 4:00
MA 235	Introduction to Differentiable Manifolds	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 237	Introduction to Tilings	Subhojoy Gupta	Mon, Wed, Fri	11:00 - 12:00
MA 241	Ordinary Differential Equations	Vamsi Pritham Pingali	Mon, Wed, Fri	11:00 - 12:00
MA 262	Introduction to Stochastic Processes	Arvind Ayyer	Tue, Thu	3:30 - 5: 00
MA 305	Lie Groups and Lie Algebras	Muna Naik	Tue, Thu	11:30 - 1:00
MA 321	Analysis III	A. K. Nandakumaran	Tue, Thu	10:00 - 11:30
MA 326	Fourier Analysis	Kalachand Shuin / E. K. Narayanan	Tue, Thu	10:00 - 11:30
MA 340	Advanced Functional Analysis	E. K. Narayanan	Mon, Wed, Fri	11:00 - 12:00
MA 347A	Topics in Finite Element Method	Thirupathi Gudi	Tue, Thu	11:30 - 1:00
MA 362	Stochastic Processes	Manjunath Krishnapur	Tue, Thu	2:00 - 3:30
MA 366A	Introduction to Stochastic Finance	Srikanth K. Iyer	Tue, Thu	11:30 - 1:00
MA 374A	Regularity in the Calculus of Variations	Swarnendu Sil	Tue, Thu	2:00 - 3:30
MA 379	Linear Algebraic Groups	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 394	Techniques in discrete probability	Riddhipratim Basu	Mon, Wed, Fri	2:00 - 3:00
