MA 208	Proofs and Programs	Siddhartha Gadgil	Mon, Wed, Fri	9:00 - 10:00
MA 213	Algebra II	Shaunak Deo	Mon, Wed, Fri	2:00 - 3:00
MA 216	Introduction to Graph Theory	Vineeth Chintala/ Apoorva Khare	Tue, Thu	10:00 - 11:30
MA 218	Number Theory	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 220	Representation Theory of Finite Groups	Soumya Das	Tue, Thu	11:30 - 1:00
MA 222	Measure & Integration	Arka Mallick	Mon, Wed, Fri	10:00 - 11:00
MA 224	Complex Analysis	E.K.Narayanan	Mon, Wed, Fri	11:00 - 12:00
MA 235	Introduction to Differentiable Manifolds	Ved Datar	Tue, Thu	2:00 - 3:30
MA 237	Introduction to Tilings	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 241	Ordinary Differential Equations	Vamsi Pingali	Mon, Wed, Fri	3:00 - 4:00
MA 262	Introduction to Stochastic Processes	Sanchayan Sen	Tue, Thu	3:30 - 5: 00
MA 267	Introduction to Statistical Learning<br/> with Applications	Siva Athreya	Mon, Wed, Fri	2:00 - 3:00
MA 305	Lie Groups and Lie Algebras	Muna Naik	Tue, Thu	3:30 - 5: 00
MA 310	Algebraic Geometry I	Abhishek Banerjee	Tue, Thu	2:00 - 3:30
MA 321	Analysis III	Swarnendu Sil	Tue, Thu	2:00 - 3:30
MA 326	Fourier Analysis	E.K.Narayanan	Tue, Thu	2:00 - 3:30
MA 345	Complex Manifolds	Purvi Gupta	Tue, Thu	10:00 - 11:30
MA 346	Ergodic Theory	Abhishek Khetan	Mon, Wed, Fri	3:00 - 4:00
MA 356	Class Field Theory	Mahesh Kakde	Tue, Thu	8:30 - 10:00
MA 365	Topics in Gaussian Processes	Manjunath Krishnapur	Tue, Thu	11:30 - 1:00
MA 368	Topics in Probability and Stochastic Processes	Biltu Dan/ Manjunath Krishnapur	Tue, Thu	3:30 - 5: 00
MA 372	Abstract Harmonic Analysis	E.K.Narayanan	Tue, Thu	11:30 - 1:00
MA 376	Extremal Combinatorics	Hiranya kishore Dey/Arvind Ayyer	Tue, Thu	11:30 - 1:00
